prices,market_cap,time,volumes
20554.68665047567,394854473441.2099,2022-10-27 16:01:44.656,44078269111.2653
20584.05831964865,394509781129.37024,2022-10-27 17:02:15.068,42307758436.71602
20615.22919627546,395693784649.89655,2022-10-27 18:02:42.811,41404278296.62299
20571.18607490492,394854093910.2058,2022-10-27 19:01:41.641,40053848088.74212
20635.207714342243,396047321854.57837,2022-10-27 20:01:49.288,39592552479.520775
20419.18685769149,391422346501.93616,2022-10-27 21:00:21.148,41613658353.88812
20347.549173133586,390369635751.3249,2022-10-27 22:01:32.929,41887178581.20036
20275.98566411127,389942246340.38354,2022-10-27 23:02:01.580,41947444922.738976
20278.36623205219,389238872375.6226,2022-10-28 00:01:43.048,41829789298.17936
20310.03947273597,390118131319.2972,2022-10-28 01:02:40.695,42294921561.10614
20298.93539074364,388732823714.99146,2022-10-28 02:01:40.125,42281163224.53853
20246.03903005315,388509071448.97046,2022-10-28 03:01:37.688,42333774208.43894
20259.965605411504,388741265230.14325,2022-10-28 04:03:41.964,41668194478.9041
20279.998990825236,389129533616.4743,2022-10-28 05:00:17.191,41501555575.82327
20267.39152701962,388815858111.0396,2022-10-28 06:00:51.727,41276815561.53176
20284.80270167409,389448654468.1695,2022-10-28 07:01:45.284,40818164652.41657
20143.64809310815,386607176995.7798,2022-10-28 08:02:54.449,40578031766.78995
20150.587434154833,386747615205.7449,2022-10-28 09:01:54.407,41375127923.287674
20165.003802182888,387027624920.7955,2022-10-28 10:02:09.285,40991480020.49324
20217.62356310234,387976501839.3412,2022-10-28 11:02:56.147,40600384229.16111
20198.75678979672,387792793039.3939,2022-10-28 12:02:32.700,39824117295.682915
20207.87220366979,388004251331.8951,2022-10-28 13:01:04.273,38995435184.977234
20479.27049267263,393256282643.04596,2022-10-28 14:01:18.290,39546107245.563614
20566.423478344597,395037524010.3058,2022-10-28 15:01:27.352,39628805634.292046
20433.4333469363,392191739882.2793,2022-10-28 16:02:58.787,39174017097.30367
20706.415967131103,396658476099.64185,2022-10-28 17:01:16.879,40389166279.20243
20677.063577522524,396950206372.69025,2022-10-28 18:02:02.638,40634715384.13145
20637.650614984206,396221944943.2695,2022-10-28 19:00:48.994,41191550836.82059
20576.272724989518,394778696454.0065,2022-10-28 20:00:29.394,40550015095.19201
20606.698753009234,396887158606.2203,2022-10-28 21:01:49.483,37783637521.41844
20600.520305861934,395432798060.87726,2022-10-28 22:02:10.232,37811450424.03147
20609.96620765588,395449708913.10205,2022-10-28 23:01:32.037,37055668021.3873
20591.241208098614,395201306734.5831,2022-10-29 00:01:36.536,36165609164.5681
20597.333528404564,394858318634.0963,2022-10-29 01:02:12.927,35282405582.19462
20627.136971360072,395762139978.9461,2022-10-29 02:01:58.485,34651079020.27936
20743.066515535298,397262576943.4544,2022-10-29 03:03:11.900,34770944900.97114
20745.79822880945,398116573069.6232,2022-10-29 04:01:40.537,35040424985.84451
20666.89391173382,396800293625.4642,2022-10-29 05:02:33.288,35093110429.38377
20651.975298257494,397764918816.32245,2022-10-29 06:02:54.615,35283048441.65248
20698.088592467626,397061191480.9146,2022-10-29 07:00:30.970,34999844960.81984
20725.37229357432,397775937184.40375,2022-10-29 08:01:14.206,34334219971.85589
20876.440576884193,401205897402.75964,2022-10-29 09:00:19.743,34966300588.540726
20924.818454854445,401327721285.5388,2022-10-29 10:02:24.903,34979659128.81374
20851.94670463542,400569165755.60065,2022-10-29 11:01:54.447,36312697138.19023
20701.30999835414,397692714478.9981,2022-10-29 12:00:34.947,37183780764.13491
20750.337914473013,398045636627.9104,2022-10-29 13:02:41.174,36014948032.44013
20723.849154019063,397642171088.15607,2022-10-29 14:01:47.516,34244160983.64754
20819.569530016834,399562547942.61285,2022-10-29 15:00:09.189,33090115225.123398
20872.54158371652,400553865343.14056,2022-10-29 16:02:35.322,32483912343.663662
20855.94904397526,400494172214.04034,2022-10-29 17:01:51.698,31518448829.637794
20899.61374184086,401307394462.172,2022-10-29 18:01:26.634,31729504747.29383
20814.718291772228,399444693846.33215,2022-10-29 19:00:56.614,32611541078.848778
20816.801406878432,399429985011.41394,2022-10-29 20:00:45.812,32533420378.15819
20853.35007337153,400314292600.21875,2022-10-29 21:00:46.603,32195344574.064564
20868.336606180965,400619567487.65344,2022-10-29 22:03:30.952,32087817502.78414
20731.806711867357,398581349557.3618,2022-10-29 23:01:21.493,32489241811.43114
